Exercise acceleration data
Captured with Sensus v2
Sampling frequency [Hz]; 400.641021728516
Acquisition time [s]; 140.524801372313
Number of data points; 56300
Date; 04/06/y2021 12:54:08 -03:00
Index; Z1 [mV]; Z2 [mV]
0; 1333.55920410156; 2018.65795898438
1; 1361.28967285156; 2020.22912597656
2; 1348.58215332031; 2023.67016601563
3; 1339.11547851563; 2024.23010253906
4; 1360.92834472656; 2023.3154296875
5; 1370.46850585938; 2023.19995117188
6; 1379.03283691406; 2023.4306640625
7; 1410.97607421875; 2023.453125
8; 1416.05749511719; 2023.15551757813
9; 1386.29821777344; 2022.86950683594
10; 1383.06396484375; 2023.19165039063
11; 1395.98657226563; 2022.66674804688
12; 1373.92932128906; 2019.494140625
13; 1346.1826171875; 2018.39343261719
14; 1334.8388671875; 2021.96936035156
15; 1313.69018554688; 2022.21936035156
16; 1301.75378417969; 2019.52404785156
17; 1316.42395019531; 2021.3388671875
18; 1328.92419433594; 2022.15881347656
19; 1324.21765136719; 2018.52038574219
20; 1313.11267089844; 2016.74536132813
21; 1316.81970214844; 2017.48974609375
22; 1342.88671875; 2019.96459960938
23; 1354.87365722656; 2023.32543945313
24; 1341.07641601563; 2021.94396972656
25; 1345.13232421875; 2018.79370117188
26; 1363.60595703125; 2020.27209472656
27; 1371.02941894531; 2020.65063476563
28; 1382.35180664063; 2019.45227050781
29; 1392.24670410156; 2022.81958007813
30; 1385.26416015625; 2023.98669433594
31; 1384.61572265625; 2018.87365722656
32; 1407.67077636719; 2016.27551269531
33; 1420.33129882813; 2019.83386230469
34; 1395.85412597656; 2024.06274414063
35; 1355.26831054688; 2024.41467285156
36; 1328.88525390625; 2023.23596191406
37; 1328.88208007813; 2023.59680175781
38; 1325.42956542969; 2022.52416992188
39; 1306.7890625; 2018.7744140625
40; 1305.78771972656; 2016.53271484375
41; 1308.54467773438; 2016.83996582031
42; 1296.76684570313; 2016.63256835938
43; 1292.97705078125; 2016.62548828125
44; 1301.07092285156; 2020.49230957031
45; 1324.01196289063; 2024.66040039063
46; 1345.52746582031; 2022.91101074219
47; 1326.49914550781; 2020.57434082031
48; 1302.38134765625; 2022.18383789063
49; 1318.44360351563; 2021.30432128906
50; 1340.29467773438; 2019.74682617188
51; 1327.54772949219; 2022.68322753906
52; 1298.79895019531; 2021.94177246094
53; 1315.31860351563; 2017.05700683594
54; 1364.86572265625; 2019.04992675781
55; 1376.76782226563; 2023.26977539063
56; 1362.27746582031; 2020.23645019531
57; 1355.89514160156; 2016.44787597656
58; 1360.39953613281; 2017.29382324219
59; 1375.064453125; 2018.43530273438
60; 1378.45458984375; 2018.07360839844
61; 1371.74780273438; 2017.65270996094
62; 1379.40515136719; 2018.72497558594
63; 1390.89099121094; 2020.92944335938
64; 1382.21667480469; 2021.26904296875
65; 1362.34558105469; 2021.16052246094
66; 1361.04248046875; 2021.96374511719
67; 1371.85900878906; 2020.78942871094
68; 1371.13452148438; 2021.21606445313
69; 1370.626953125; 2024.81701660156
70; 1364.75134277344; 2023.23168945313
71; 1327.35693359375; 2018.14916992188
72; 1299.89001464844; 2019.66247558594
73; 1318.22033691406; 2023.68872070313
74; 1324.208984375; 2021.79418945313
75; 1305.16516113281; 2018.21069335938
76; 1317.02368164063; 2017.95532226563
77; 1332.66247558594; 2018.87719726563
78; 1316.14672851563; 2019.22863769531
79; 1325.11193847656; 2018.94970703125
80; 1361.83142089844; 2017.85290527344
81; 1365.755859375; 2017.83386230469
82; 1368.43872070313; 2021.05163574219
83; 1396.33227539063; 2024.67236328125
84; 1409.16015625; 2025.0615234375
85; 1416.80969238281; 2023.93688964844
86; 1426.86755371094; 2023.67785644531
87; 1417.59436035156; 2023.8681640625
88; 1411.15625; 2023.91052246094
89; 1420.59558105469; 2023.73962402344
90; 1422.10168457031; 2023.52270507813
91; 1404.08251953125; 2023.63110351563
92; 1382.41638183594; 2023.91027832031
93; 1375.40173339844; 2023.72705078125
94; 1370.72521972656; 2023.18725585938
95; 1364.27648925781; 2023.43408203125
96; 1371.27319335938; 2023.37744140625
97; 1375.15576171875; 2020.35290527344
98; 1363.68957519531; 2017.75305175781
99; 1357.38366699219; 2020.38452148438
100; 1365.50537109375; 2024.15661621094
101; 1383.49853515625; 2024.38610839844
102; 1402.97155761719; 2023.36279296875
103; 1406.22033691406; 2023.11999511719
104; 1391.197265625; 2023.07104492188
105; 1376.66882324219; 2023.23547363281
106; 1370.91748046875; 2023.53674316406
107; 1364.58850097656; 2023.53979492188
108; 1354.23400878906; 2023.50378417969
109; 1345.03149414063; 2023.30419921875
110; 1333.55480957031; 2023.01672363281
111; 1325.86511230469; 2023.28686523438
112; 1317.61364746094; 2022.41088867188
113; 1287.55773925781; 2020.48950195313
114; 1272.02197265625; 2020.94750976563
115; 1301.56396484375; 2021.47875976563
116; 1315.14233398438; 2019.30920410156
117; 1286.97717285156; 2018.02587890625
118; 1283.1640625; 2018.10864257813
119; 1315.22424316406; 2018.92272949219
120; 1324.44812011719; 2021.99768066406
121; 1309.69567871094; 2022.59143066406
122; 1311.18115234375; 2019.64794921875
123; 1346.03381347656; 2020.68591308594
124; 1400.48864746094; 2023.07861328125
125; 1415.56091308594; 2020.07104492188
126; 1376.93298339844; 2016.32092285156
127; 1360.05017089844; 2017.11437988281
128; 1384.54187011719; 2020.81799316406
129; 1393.56848144531; 2022.61364746094
130; 1374.73828125; 2021.56701660156
131; 1346.83776855469; 2022.19323730469
132; 1319.55493164063; 2022.61254882813
133; 1318.72033691406; 2018.86779785156
134; 1336.97119140625; 2016.1103515625
