Exercise acceleration data
Captured with Sensus v2
Sampling frequency [Hz]; 400.641021728516
Acquisition time [s]; 16.0592641568288
Number of data points; 6434
Date; 02/06/y2021 12:59:49 -03:00
Index; Z1 [mV]; Z2 [mV]
0; 1183.32995605469; 2010.83251953125
1; 1155.48742675781; 2009.02868652344
2; 1155.60144042969; 2014.04150390625
3; 1169.57336425781; 2017.94287109375
4; 1191.48364257813; 2017.67590332031
5; 1232.90173339844; 2017.14599609375
6; 1281.841796875; 2017.23315429688
7; 1329.45629882813; 2017.20666503906
8; 1385.87707519531; 2016.91613769531
9; 1418.80517578125; 2016.3984375
10; 1393.91821289063; 2016.81640625
11; 1355.64514160156; 2016.52941894531
12; 1365.15600585938; 2012.16345214844
13; 1415.9609375; 2009.50024414063
14; 1451.8720703125; 2013.19995117188
15; 1453.35168457031; 2013.97033691406
16; 1462.25170898438; 2011.33215332031
17; 1499.30224609375; 2013.90942382813
18; 1530.17797851563; 2014.97644042969
19; 1527.19519042969; 2009.89672851563
20; 1511.36633300781; 2007.35107421875
21; 1516.04846191406; 2008.19104003906
22; 1534.27368164063; 2009.79260253906
23; 1512.86474609375; 2013.01867675781
24; 1425.29040527344; 2013.57897949219
25; 1359.84558105469; 2012.40100097656
26; 1398.36560058594; 2013.73779296875
27; 1444.76440429688; 2013.56323242188
28; 1390.39965820313; 2013.22790527344
29; 1321.51013183594; 2014.36511230469
30; 1348.3291015625; 2011.7646484375
31; 1413.51086425781; 2011.44689941406
32; 1430.88122558594; 2016.66247558594
33; 1409.45129394531; 2015.76196289063
34; 1376.07934570313; 2008.94812011719
35; 1334.93286132813; 2006.76257324219
36; 1294.53955078125; 2008.60070800781
37; 1275.26489257813; 2009.5908203125
38; 1275.85327148438; 2009.73193359375
39; 1256.73620605469; 2009.72229003906
40; 1219.33288574219; 2009.64208984375
41; 1221.9951171875; 2009.43640136719
42; 1272.99011230469; 2008.41882324219
43; 1324.38879394531; 2008.09851074219
44; 1357.35571289063; 2009.99584960938
45; 1394.24829101563; 2011.37353515625
46; 1449.18798828125; 2012.884765625
47; 1496.76330566406; 2015.57470703125
48; 1501.77124023438; 2014.353515625
49; 1454.04321289063; 2012.62902832031
50; 1362.38708496094; 2014.82275390625
51; 1263.88977050781; 2014.29370117188
52; 1225.1181640625; 2013.10241699219
53; 1255.52136230469; 2014.88391113281
54; 1279.74450683594; 2013.24816894531
55; 1263.78540039063; 2012.38806152344
56; 1240.33508300781; 2016.64233398438
57; 1230.61706542969; 2016.08178710938
58; 1239.849609375; 2010.04650878906
59; 1241.39172363281; 2007.98559570313
60; 1216.33959960938; 2009.74719238281
61; 1219.271484375; 2009.96069335938
62; 1267.23779296875; 2009.80407714844
63; 1298.00952148438; 2012.50964355469
64; 1308.57165527344; 2013.87939453125
65; 1339.61108398438; 2012.67639160156
66; 1367.22570800781; 2014.35595703125
67; 1365.99865722656; 2015.02673339844
68; 1355.31616210938; 2012.73461914063
69; 1343.24597167969; 2013.36865234375
70; 1349.57312011719; 2013.24475097656
71; 1388.39697265625; 2012.2373046875
72; 1407.19689941406; 2014.59423828125
73; 1368.64587402344; 2013.48278808594
74; 1328.18798828125; 2011.04577636719
75; 1343.37976074219; 2014.28576660156
76; 1380.90991210938; 2014.66577148438
77; 1393.97680664063; 2009.73156738281
78; 1388.97021484375; 2008.15087890625
79; 1382.82214355469; 2009.69067382813
80; 1385.20629882813; 2009.60974121094
81; 1374.83984375; 2008.23425292969
82; 1324.86145019531; 2009.36181640625
83; 1289.29516601563; 2014.41479492188
84; 1322.30126953125; 2018.4453125
85; 1374.17431640625; 2018.373046875
86; 1400.43286132813; 2017.55017089844
87; 1425.28454589844; 2017.70056152344
88; 1455.66149902344; 2017.76440429688
89; 1472.18676757813; 2017.84338378906
90; 1463.32006835938; 2017.89196777344
91; 1430.58471679688; 2017.57666015625
92; 1394.23120117188; 2017.75952148438
93; 1357.69030761719; 2018.36022949219
94; 1325.68383789063; 2017.96240234375
95; 1322.4384765625; 2017.63110351563
96; 1329.64270019531; 2018.0166015625
97; 1317.12158203125; 2015.06872558594
98; 1300.79711914063; 2009.8857421875
99; 1326.46276855469; 2010.86169433594
100; 1391.54321289063; 2016.78723144531
101; 1416.92236328125; 2019.02783203125
102; 1396.955078125; 2017.87609863281
103; 1411.88317871094; 2017.51513671875
104; 1463.380859375; 2017.68408203125
105; 1488.59838867188; 2017.67626953125
106; 1459.615234375; 2017.66149902344
107; 1403.05358886719; 2017.45617675781
108; 1358.68469238281; 2017.16418457031
109; 1312.53759765625; 2016.90258789063
110; 1250.83898925781; 2017.17993164063
111; 1237.09326171875; 2017.25927734375
112; 1295.10034179688; 2014.03515625
113; 1361.5888671875; 2010.92297363281
114; 1412.75268554688; 2014.05236816406
115; 1432.05908203125; 2016.33972167969
116; 1383.07861328125; 2011.94750976563
117; 1330.85998535156; 2008.58044433594
118; 1338.16796875; 2008.60729980469
119; 1341.99609375; 2010.22253417969
120; 1313.70922851563; 2014.8857421875
121; 1299.1943359375; 2015.943359375
122; 1311.09594726563; 2011.78820800781
123; 1336.00927734375; 2013.24096679688
124; 1348.55700683594; 2016.53759765625
125; 1326.1005859375; 2013.09362792969
126; 1270.88330078125; 2011.57421875
127; 1203.67065429688; 2013.70190429688
128; 1167.73425292969; 2013.15258789063
129; 1182.08520507813; 2013.54187011719
130; 1225.0546875; 2013.32177734375
131; 1297.43957519531; 2010.64953613281
132; 1399.18005371094; 2012.87756347656
133; 1459.13708496094; 2017.16809082031
134; 1397.90673828125; 2017.24743652344
